名称,id
爱夸,6925303721695
达利园-青梅绿茶,6911988014320
多多柠檬茶-青柠,6973497200304
多多柠檬茶-凤梨,6973497200328
多多柠檬茶-葡萄,6973497201752
元气森林-醇香乌龙-无糖,6970399920118
元气森林-青柑普洱-无糖,6975176782477
元气森林-茉莉花茶-无糖,6975176782460
东方树叶-茉莉花茶,6921168558049
东方树叶-青柑普洱,6921168596348
东方树叶-乌龙茶,6921168558032
东方树叶-红茶,6921168558025
脉动-桃子,6902538005141
脉动-柠檬-0糖0卡,6902538008425
脉动-雪柚橘子口味,6902538004052
脉动-青柠,6902538004045
营养快线-原味,6902083886455
营养快线-菠萝味,6902083886417
营养快线-椰子味,6902083893842
营养快线-水蜜桃味,6902083894245
营养快线-香草冰淇淋,6902083891329
和其正,6911988014276
尖叫-多肽型,6921168504015
尖叫-纤维型,6921168504022
佳得乐-柠檬味,6934024590169
佳得乐-蓝莓味,6934024590367
佳得乐-橘子味,6934024590268
恩乐-芦荟水-柠檬味,8809424981641
恩乐-芦荟水-椰子味,8809424981658
美粒啵啵-芦荟饮料-蜂蜜,6971347040414
欢乐家-椰子汁,6924254685971
九龙寨-酸梅汤,6939209518020
水溶C100-西柚汁饮料,6921168500970
水溶C100-柠檬味,6921168500956
百岁山,6922255451427
农夫山泉,6921168509256
农夫山泉-长白雪,6921168596614
昆仑山雪山矿泉水,6947012851098
统一-绿茶,6925303721367
统一-冰红茶,6925303721398
统一-阿萨姆,6925303730574
三得利-沁柠水,6972549660318
三得利-沁桃水,6972549660332
三得利-沁葡水,6972549660493
三得利-乌龙茶,6972549660097
康师傅-绿茶,6921317905168
康师傅-冰红茶,6921317905014
康师傅-茉莉蜜茶,6921317993790
康师傅-茉莉清茶,6921317998436
元气森林-纤茶-玉米须茶,6970399921092
宝矿力-多维左旋饮,6971425850287
宝矿力-电解质营养液,6971425850263
外星人电解质水-荔枝海盐,6970399922365
外星人电解质水-白桃,6970399927247
外星人电解质水-西柚,6970399922341
外星人电解质水-青柠,6970399922518
名仁-苏打水饮料,6938309700526
名仁-柠檬苏打,6938309713465
名仁-水蜜桃,6938309715339
桂花雪梨,6973497203145
力量帝-维他命水-石榴蓝莓,6921168550104
力量帝-维他命水-蓝莓树莓,6921168550098
力量帝-维他命水-柠檬,6921168550128
力量帝-维他命水-柑橘,6921168550142
茶pai-柠檬红茶,6921168593593
茶pia-柚子绿茶,6921168593576
茶pai-蜜桃乌龙,6921168593569
茶pai-西柚茉莉花,6921168593552
元气森林,6970399920439
